timestamp,period,open,high,low,close,volume,vwap,ATR,vwap_upper,vwap_lower
2023-10-19 14:30:00-04:00,minute_15,116.71,116.73,116.23,116.46,4687,116.47333333333336,,,
2023-10-19 14:45:00-04:00,minute_15,116.45,116.47,115.78,116.29,4871,116.3238432029016,,,
2023-10-19 15:00:00-04:00,minute_15,116.46,116.91,116.46,116.67,4866,116.44399426881124,,,
2023-10-19 15:15:00-04:00,minute_15,116.61,116.97,116.33,116.36,3909,116.46730776923216,,,
2023-10-19 15:30:00-04:00,minute_15,116.57,116.57,115.63,115.63,6577,116.32896253178109,,,
2023-10-19 15:45:00-04:00,minute_15,115.63,116.29,115.63,115.86,12761,116.1926853547822,,,
2023-10-20 09:30:00-04:00,minute_15,99.56,102.02,97.52,100.0,108558,99.84666666666665,,,
2023-10-20 09:45:00-04:00,minute_15,99.98,103.88,99.78,101.49,36176,100.31406976476384,,,
2023-10-20 10:00:00-04:00,minute_15,100.92,103.92,100.92,102.72,32908,100.72271609942092,,,
2023-10-20 10:15:00-04:00,minute_15,102.75,103.48,100.2,100.4,34240,100.82570078314028,,,
2023-10-20 10:30:00-04:00,minute_15,100.34,100.7,99.04,99.24,44667,100.62274401121553,,,
2023-10-20 10:45:00-04:00,minute_15,99.28,99.78,98.47,98.96,37719,100.42371472036827,,,
2023-10-20 11:00:00-04:00,minute_15,98.88,99.57,98.56,98.81,10147,100.37559168678722,,,
2023-10-20 11:15:00-04:00,minute_15,98.74,98.83,98.0,98.3,14168,100.28669563870848,,,
2023-10-20 11:30:00-04:00,minute_15,98.07,98.25,97.43,97.59,11393,100.19934195214196,2.560823340170886,,
2023-10-20 11:45:00-04:00,minute_15,97.63,98.86,97.29,98.44,15540,100.10926920895125,2.4553452466779895,,
2023-10-20 12:00:00-04:00,minute_15,98.35,98.91,98.31,98.83,8311,100.0757755720545,2.264518458035247,,
2023-10-20 12:15:00-04:00,minute_15,98.91,99.45,98.86,99.16,5417,100.06191643191441,2.1005289057614354,,
2023-10-20 12:30:00-04:00,minute_15,98.88,98.88,98.27,98.52,7112,100.03269530183755,1.983137353339828,,
2023-10-20 12:45:00-04:00,minute_15,98.88,99.6,98.54,99.55,8828,100.01380805151604,1.8977369383790057,122.72383523620368,77.30378086682839
2023-10-20 13:00:00-04:00,minute_15,99.48,100.2,99.46,100.2,13397,100.01172308133097,1.7907366964850011,121.46932563167384,78.5541205309881
2023-10-20 13:15:00-04:00,minute_15,100.32,100.82,100.18,100.57,10473,100.02515007158595,1.6865702305501638,119.87619074736102,80.17410939581089
2023-10-20 13:30:00-04:00,minute_15,100.58,100.68,99.13,99.13,8360,100.01738371779074,1.67443929761504,117.72534184594892,82.30942558963255
2023-10-20 13:45:00-04:00,minute_15,99.2,99.26,98.51,99.26,9077,99.99542880878579,1.5937295308263573,114.82825908243927,85.1625985351323
2023-10-20 14:00:00-04:00,minute_15,99.13,99.17,98.14,98.59,10779,99.96106639829615,1.5530162096699298,110.71526976091697,89.20686303567534
2023-10-20 14:15:00-04:00,minute_15,98.41,98.62,97.88,98.13,8214,99.9280381828035,1.4841434594967724,100.75571878169299,99.10035758391402
2023-10-20 14:30:00-04:00,minute_15,98.02,98.48,97.89,98.12,11709,99.88183234084612,1.4093912196889145,100.70286285720609,99.06080182448615
2023-10-20 14:45:00-04:00,minute_15,98.07,98.91,98.03,98.88,12592,99.84690974404704,1.3656653174183053,100.69500289500367,98.99881659309041
2023-10-20 15:00:00-04:00,minute_15,99.19,99.39,98.65,98.78,10572,99.82652554690728,1.3145582680649324,100.60893040776585,99.0441206860487
2023-10-20 15:15:00-04:00,minute_15,98.73,98.8,98.08,98.31,14416,99.78400493289298,1.2664852025821132,100.42433073984324,99.14367912594273
2023-10-20 15:30:00-04:00,minute_15,98.41,99.07,98.41,98.7,17380,99.74740943497301,1.2259157223881085,100.294896543252,99.19992232669402
2023-10-20 15:45:00-04:00,minute_15,98.74,99.24,98.7,98.89,47807,99.67751259485539,1.1714461824663036,100.19917654937923,99.15584864033154
2023-10-23 09:30:00-04:00,minute_15,97.21,99.06,95.73,95.73,14988,96.84000000000002,1.3415024680672845,98.98837182238478,94.69162817761526
2023-10-23 09:45:00-04:00,minute_15,95.79,99.6,95.76,99.0,24704,97.63666229970777,1.5392496274161416,100.20460107162971,95.06872352778582
2023-10-23 10:00:00-04:00,minute_15,98.99,100.11,98.86,99.9,14967,98.18066247095629,1.5167804867332653,100.90863075718593,95.45269418472665
2023-10-23 10:15:00-04:00,minute_15,99.82,100.03,98.14,98.14,12427,98.289831261366,1.5455923367148856,101.12246523343825,95.45719728929376
2023-10-23 10:30:00-04:00,minute_15,98.13,98.77,97.98,98.23,6813,98.29322724258786,1.487596628153179,101.20310061070641,95.38335387446931
2023-10-23 10:45:00-04:00,minute_15,97.92,98.3,97.59,97.79,10792,98.24226958393847,1.4282282126442984,101.21224712313854,95.27229204473839
2023-10-23 11:00:00-04:00,minute_15,97.84,99.5,97.75,99.5,6330,98.28917011825109,1.4526747610178525,101.28877798974173,95.28956224676045
